radio,mcc,mnc,lac,cid,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region,location,d_nearest_road
GSM,624,2,65301,47,0,11.54045105,3.844528198,1000,2,1,1344952789,1344952789,0,POINT (11.540451049805 3.8445281982422),Yaounde,Centre,urban,0.003750697
GSM,624,2,65301,62,0,11.51847839,3.834915161,1000,1,1,1356523422,1356523422,0,POINT (11.518478393555 3.8349151611328),Yaounde,Centre,urban,0.001702911
GSM,624,2,65301,63,0,11.5171051,3.844528198,1000,1,1,1355193204,1355193204,0,POINT (11.517105102539 3.8445281982422),Yaounde,Centre,urban,0.000720497
GSM,624,2,65301,4244,0,11.548004,3.858605,1923,4,1,1342451640,1346562629,0,POINT (11.548004 3.858605),Yaounde,Centre,urban,0.004484843
GSM,624,2,65301,4245,0,11.539289,3.858895,2127,39,1,1337452860,1383102091,0,POINT (11.539289 3.858895),Yaounde,Centre,urban,0.000955647
GSM,624,2,65301,4246,0,11.552124,3.850021,1374,4,1,1345066422,1348734427,0,POINT (11.552124 3.850021),Yaounde,Centre,urban,0.002372477
GSM,624,2,65301,4261,0,11.515045,3.845215,2063,6,1,1350679271,1359953345,0,POINT (11.515045 3.845215),Yaounde,Centre,urban,0.004876064
GSM,624,2,65301,4262,0,11.515732,3.845509,2793,7,1,1341395970,1357798120,0,POINT (11.515732 3.845509),Yaounde,Centre,urban,0.002578265
GSM,624,2,65301,4263,0,11.512236,3.844029,2001,11,1,1338142001,1358332763,0,POINT (11.512236 3.844029),Yaounde,Centre,urban,0.002945839
GSM,624,2,65301,4822,0,11.519263,3.843155,2019,7,1,1338021918,1359706925,0,POINT (11.519263 3.843155),Yaounde,Centre,urban,0.004059649
GSM,624,2,65301,4823,0,11.522224,3.845402,3549,11,1,1346136837,1378178340,0,POINT (11.522224 3.845402),Yaounde,Centre,urban,0.005992421
GSM,624,2,65301,7010,0,11.50474548,3.825302124,1000,1,1,1354291161,1354291161,0,POINT (11.504745483398 3.8253021240234),Yaounde,Centre,urban,0.000305737
GSM,624,2,65301,9072,0,11.535939,3.862408,7051,154,1,1341861005,1360634270,0,POINT (11.535939 3.862408),Yaounde,Centre,urban,0.000791377
GSM,624,2,65301,9231,0,11.519986,3.829054,2202,41,1,1341385892,1360646077,0,POINT (11.519986 3.829054),Yaounde,Centre,urban,0.000228756
GSM,624,2,65301,9232,0,11.515274,3.820953,2141,6,1,1344256988,1349665755,0,POINT (11.515274 3.820953),Yaounde,Centre,urban,0.001536339
GSM,624,2,65301,9241,0,11.52809143,3.856887817,1000,3,1,1377460271,1379232637,0,POINT (11.528091430664 3.8568878173828),Yaounde,Centre,urban,0.005781683
GSM,624,2,65301,9243,0,11.52671814,3.855514526,1000,1,1,1419214868,1419214868,0,POINT (11.526718139648 3.8555145263672),Yaounde,Centre,urban,0.005119577
GSM,624,2,65301,9293,0,11.52946472,3.812942505,1000,1,1,1337567543,1337567543,0,POINT (11.52946472168 3.8129425048828),Yaounde,Centre,urban,0.005356236
GSM,624,2,65301,9431,0,11.539078,3.854141,1000,2,1,1347700668,1349961313,0,POINT (11.539078 3.854141),Yaounde,Centre,urban,0.005253799
GSM,624,2,65301,9432,0,11.535301,3.853455,1000,4,1,1344258061,1353233267,0,POINT (11.535301 3.853455),Yaounde,Centre,urban,0.007499116
GSM,624,2,65301,9461,0,11.53358459,3.753890991,1000,1,1,1342159287,1342159287,0,POINT (11.533584594727 3.7538909912109),Yaounde,Centre,urban,0.007525966
GSM,624,2,65301,9501,0,11.505089,3.833885,2342,4,1,1337689320,1345126089,0,POINT (11.505089 3.833885),Yaounde,Centre,urban,0.008055814
