,cell,mcc,net,area,lon,lat,zone,road,dist_road,traffic,priority
24658,7881,624,2,20007,9.743843,4.042797,1,POINT (9.743756454442774 4.042532180028758),0.030971834056046012,0.23777060021779173,0.0
24659,23756,624,2,20007,9.7812652587891,4.0477752685547,1,POINT (9.776432968688596 4.051089516435667),0.6504553486088921,0.7179324697012088,0.0
24660,20648,624,2,14,10.109481811523,3.8115692138672,0,POINT (10.10907675893753 3.811461298264845),0.04651463130898823,0.9577242944229676,0.0
24661,6521,624,2,20012,9.790878,4.051666,1,POINT (9.782737836255734 4.058588553747938),1.1864694202987225,0.6448953111284244,0.0
24662,7601,624,2,20012,9.7908782958984,4.0285491943359,1,POINT (9.790974983961434 4.028454857467864),0.015001793302810136,0.15309979114484495,0.0
24663,15373,624,2,20004,9.790192,4.029922,1,POINT (9.79033527711124 4.029721027761241),0.027421847723245022,0.7919698590569934,0.0
24664,20686,624,2,14,10.109481811523,3.8115692138672,0,POINT (10.10907675893753 3.811461298264845),0.04651463130898823,0.22799423050504808,0.0
24665,23786,624,2,20012,9.789505,4.030608999999999,1,POINT (9.789618289113776 4.031337561607302),0.08198113337560052,0.7430127816489162,0.0
24666,21045,624,2,20019,11.522141,3.84819,1,POINT (11.52113508289199 3.84842448543165),0.11460603511005395,0.5136525948304641,0.0
24667,9582,624,2,20019,11.520538,3.8483050000000003,1,POINT (11.52107205098014 3.84811745631842),0.06281267768345733,0.5303553571444597,0.0
24668,19763284,624,2,31003,11.496505737305,3.8362884521483998,1,POINT (11.49737138156669 3.844663274020604),0.9361768900596793,0.14596014456229567,0.0
24669,19828463,624,2,31008,9.7180938720703,4.0161895751953,1,POINT (9.718106573446363 4.01615827023619),0.003755252150621905,0.1624103442477397,0.0
24670,19757874,624,2,31003,11.496505737305,3.8362884521483998,1,POINT (11.49737138156669 3.844663274020604),0.9361768900596793,0.06682808599456513,0.0
24671,1084498,624,2,1006,10.643832000000002,5.509440000000001,0,POINT (10.64243938609263 5.512627388289843),0.38648724322046796,0.06123887720495447,0.0
24672,19758642,624,2,31003,11.521224975586,3.8500213623047,1,POINT (11.52157689300827 3.850489534916505),0.06507260169385487,0.5789650955111713,0.0
24673,19824849,624,2,31021,9.6686553955078,4.0779876708984,1,POINT (9.668339777724896 4.077611283000209),0.054562468654364836,0.8704045622937262,0.0
24674,19822406,624,2,31021,9.6686553955078,4.0779876708984,1,POINT (9.668339777724896 4.077611283000209),0.054562468654364836,0.6521390004752584,0.0
24675,19821931,624,2,31021,9.6672821044922,4.0779876708984,1,POINT (9.667678529383551 4.078068096723172),0.044869079703360834,0.7374355570790591,0.0
24676,19824846,624,2,31021,9.6686553955078,4.0779876708984,1,POINT (9.668339777724896 4.077611283000209),0.054562468654364836,0.7888269575063408,0.0
24677,19763154,624,2,31022,11.539077758789,3.8816070556641002,1,POINT (11.53662986909856 3.886158975328499),0.574401657409748,0.2878988889886378,0.0
24678,19757350,624,2,31022,11.522598266602001,3.8898468017578,1,POINT (11.52262479854303 3.889866374921183),0.003660683256076026,0.2787291006058691,0.0
24679,82641,624,1,1,9.6906280517578,4.0477752685547,1,POINT (9.6905364822519 4.04771647096058),0.012079041092554331,0.08328282381057872,0.0
24680,1280146,624,2,1009,10.411605834961,5.482864379882799,1,POINT (10.41168492117353 5.483004988103346),0.017918674480432422,0.15765435355622326,0.0
24681,19759053,624,2,31022,11.536331176758,3.9585113525391002,0,POINT (11.536155621017 3.958804175762054),0.03793986034900458,0.6311870649880402,0.0
24682,19829560,624,2,31008,9.791565,4.00589,1,POINT (9.800167081895694 4.009970078761256),1.0565353629219392,0.37054419841738706,0.0
24683,19822005,624,2,31008,9.738667999999999,4.013077,1,POINT (9.737896917391282 4.009798920298437),0.3744061352178064,0.7530658832187932,0.0
24684,19826268,624,2,31008,9.7180938720703,4.0203094482422,1,POINT (9.718254262580274 4.020438489091731),0.022855954930589773,0.4839377669852708,0.0
24685,19821908,624,2,31005,9.6906280517578,4.0409088134766,1,POINT (9.690465990446228 4.040908856841128),0.017975597420488213,0.790924867844356,0.0
24686,19825508,624,2,31008,9.737794000000001,4.012773,1,POINT (9.736924281347029 4.01011349312455),0.3110614352874297,0.6805718699293091,0.0
24687,19764817,624,2,31022,11.539077758789,3.9626312255858998,0,POINT (11.53899323051735 3.963061595840998),0.04876496067162774,0.30873103581387384,0.0
24688,626,624,1,833,9.7647857666016,3.9997100830078,1,POINT (9.76528436691558 3.999909364201102),0.0595807373957914,0.17345074384653658,0.0
24689,8557,624,1,833,9.8142242431641,3.9997100830078,1,POINT (9.814702643103089 4.00196133791701),0.25589093640489874,0.31196486437221194,0.0
24690,19822727,624,2,31008,9.729137,4.014658,1,POINT (9.728860219941851 4.014179638173033),0.061415624774887184,0.42083950772254286,0.0
24691,19830130,624,2,31008,9.729837,4.01219,1,POINT (9.730554118754185 4.012885975237253),0.11097915392495405,0.045073566159613554,0.0
24692,19822724,624,2,31008,9.728233,4.015459,1,POINT (9.72787987254668 4.01506795227138),0.058523392185761525,0.79729243538894,0.0
24693,19828563,624,2,31008,9.729416,4.01308,1,POINT (9.729784240947708 4.013288641865699),0.04697490737538009,0.22555472201381654,0.0
24694,19824928,624,2,31008,9.729996,4.011612,1,POINT (9.730554118754185 4.012885975237253),0.15459631978717733,0.4177800571215835,0.0
24695,1087222,624,2,1006,13.548202514647999,7.4082183837891,1,POINT (13.5486651574893 7.407390882646723),0.10520935571347835,0.22972553854722,0.0
24696,1085795,624,2,1006,13.548202514647999,7.4082183837891,1,POINT (13.5486651574893 7.407390882646723),0.10520935571347835,0.8014049252911094,0.0
24697,20582,624,2,20011,9.6562957763672,4.0848541259766,1,POINT (9.661123042911527 4.085304780466089),0.5377437237663809,0.26684526879047854,0.0
24698,6701,624,2,20011,9.6562957763672,4.0848541259766,1,POINT (9.661123042911527 4.085304780466089),0.5377437237663809,0.8555020541280877,0.0
24699,1017876,624,2,1005,10.185012817382999,5.1656341552734,0,POINT (10.19184629257632 5.161229173509213),0.9014475557040669,0.7738429247153383,0.0
24700,19823759,624,2,31005,9.6865081787109,4.0450286865234,1,POINT (9.690008338532948 4.046412330645836),0.41760480142669065,0.23348358957485427,0.0
24701,19828495,624,2,31001,9.7098541259766,4.0422821044922,1,POINT (9.709939330813114 4.042134626361218),0.018927189001002927,0.9448539097780068,0.0
24702,1018772,624,2,1005,10.186386108398,5.1642608642578,0,POINT (10.1914957613856 5.160680494127462),0.6918810453273869,0.05892635200245033,0.0
24703,19757737,624,2,31007,11.456680297852001,3.8857269287108998,1,POINT (11.45467639755273 3.886741182322936),0.2492820864636999,0.4225558382399155,0.0
24704,5312,624,1,212,11.455307006836,3.8871002197266002,1,POINT (11.45493145886633 3.88728843678112),0.04662420154730734,0.290143327866936,0.0
24705,15295,624,1,712,9.9625396728516,5.0241851806641,0,POINT (9.959998827483389 5.025024336587023),0.2965082197700304,0.4631488782795189,0.0
24706,12827649,624,2,43603,11.537704467772999,3.8692474365233998,1,POINT (11.53842074653062 3.866551440691808),0.31013447534364874,0.44712668278970635,0.0
24707,12877570,624,2,43603,11.550064086914,3.8719940185547,1,POINT (11.55281364774598 3.86928905408729),0.4283887228165886,0.2747126837132644,0.0
24708,12878850,624,2,43603,11.539764,3.869247,1,POINT (11.53962019687475 3.866811782604373),0.2712533856884055,0.4642072895203354,0.0
