radio,mcc,mnc,lac,cid,cgi,unit,lon,lat,range,samples,changeable,created,updated,averageSignal,geometry,City,Region
UMTS,624,2,1005,35155,624023ED8953,0,9.913683,2.940759,1000,6,1,1458867131,1505835264,0,POINT (9.913683000000001 2.940759),Kribi,South
UMTS,624,2,1005,35156,624023ED8954,0,9.907608032,2.938156128,1000,1,1,1456396409,1456396409,0,POINT (9.9076080322266 2.9381561279297),Kribi,South
UMTS,624,2,1005,35188,624023ED8974,0,9.226745,4.057805,1000,11,1,1467151125,1494226054,0,POINT (9.226744999999999 4.057805),Limbe,South-West
UMTS,624,2,1005,35192,624023ED8978,0,9.225199,4.057776,1000,19,1,1481088456,1494310507,0,POINT (9.225199 4.057776),Limbe,South-West
UMTS,624,2,1005,35201,624023ED8981,0,9.433822632,4.63142395,1000,1,1,1478429343,1478429343,0,POINT (9.4338226318359 4.6314239501953),Kumba,South-West
UMTS,624,2,1005,35204,624023ED8984,0,9.433822632,4.63142395,1000,1,1,1478429343,1478429343,0,POINT (9.4338226318359 4.6314239501953),Kumba,South-West
UMTS,624,2,1005,35207,624023ED8987,0,9.332199097,4.09034729,1000,1,1,1451320752,1451320752,0,POINT (9.3321990966797 4.0903472900391),Mutengene,South-West
UMTS,624,2,1005,35215,624023ED898F,0,9.455795288,4.638290405,1000,1,1,1479396989,1479396989,0,POINT (9.4557952880859 4.6382904052734),Kumba,South-West
UMTS,624,2,1005,35216,624023ED8990,0,9.455795288,4.638290405,1000,1,1,1464517448,1464517448,0,POINT (9.4557952880859 4.6382904052734),Kumba,South-West
UMTS,624,2,1005,35218,624023ED8992,0,9.455795288,4.638290405,1000,1,1,1479400761,1479400761,0,POINT (9.4557952880859 4.6382904052734),Kumba,South-West
UMTS,624,2,1005,35227,624023ED899B,0,9.310226,4.108887,1000,2,1,1458867131,1467943340,0,POINT (9.310226 4.108887),Mutengene,South-West
UMTS,624,2,1005,35228,624023ED899C,0,9.30748,4.121246,1000,2,1,1458867131,1467943340,0,POINT (9.30748 4.121246),Mutengene,South-West
UMTS,624,2,1005,35229,624023ED899D,0,9.308853149,4.124679565,1000,1,1,1451320752,1451320752,0,POINT (9.3088531494141 4.1246795654297),Mutengene,South-West
